Common Name,Wingspan (cm),Release Date
Fig-Parrot,93.6,
Rockfinch,93.6,
Recurvebill,93.7,
Satinbird,93.8,
Sirystes,93.9,
Scythebill,94.2,
Auklet,94.4,
Grebe,94.4,
Cacique,94.6,
Babax,95.4,
Budgerigar,95.4,
Waxwing,95.4,
Cuckooshrike,95.5,
Guaiabero,95.5,
Anteater-Chat,95.8,
Bluebird,95.8,
Myna,95.9,
Palmcreeper,96.1,
Cotinga,96.2,
Morningbird,96.3,
Ground-Thrush,96.5,
Banded-Pitta,97,
Mountain-Babbler,97,
Shrike-Tyrant,97,
Troupial,97,
Veery,97,
Helmetshrike,97.6,
Trembler,98,
Turca,98,
Cacholote,98.1,
Hoopoe-Lark,98.2,
Rail-babbler,98.4,
Snipe,98.4,
Bokmakierie,98.6,
Cave-Chat,98.8,
Ground-Cuckoo,99,
Willie-wagtail,99,
Friarbird,99.5,
Wallcreeper,99.5,
Wattled-Honeyeater,99.5,
Hypocolius,99.6,
Bearded-Greenbul,99.8,
Whistling-Thrush,99.8,
Bush-Tyrant,100,
Peltops,100.2,
Bobwhite,100.7,
Pied-Babbler,100.8,
Red-Cotinga,101.1,
Laniisoma,101.4,
Ant-Thrush,101.6,
Mockingbird,101.7,
Hawfinch,102,
Omao,102,
Drongo,102.2,
Sora,102.5,
Bird-of-Paradise,102.6,
Woodswallow,102.7,
Painted-Snipe,102.9,
Rosy-Finch,103,
Huet-huet,103.1,
Kingbird,103.4,
Torrent-lark,104.2,
Stitchbird,104.3,
Cowbird,104.8,
Koel,104.8,
Parrot,104.8,
Sapphirewing,104.9,
Wood-Dove,105.2,
Tuftedcheek,105.6,
Tityra,105.7,
Grackle,106,
Jay,106,
Leaf-love,106.2,
Monjita,106.3,
Pigeon,106.7,
Diucon,107,
Saddleback,107,
Crag-Martin,107.1,
Snowfinch,107.2,
Trogon,107.4,
Treepie,107.5,
Nunbird,107.6,
Owl,108.2,
Pitohui,108.2,
Cicadabird,108.7,
Mesite,109,
Phalarope,109,
Poorwill,109,
Sandpiper-Plover,109,
Berryeater,109.5,
Nothura,110,
Dotterel,110.2,
Melidectes,110.5,
Seedsnipe,110.6,
Diving-Petrel,110.8,
Fruit-hunter,110.8,
Drongo-Cuckoo,111,
Frogmouth,111,
Cliff-Chat,111.6,
Geomalia,111.8,
Island-Thrush,111.9,
Kiskadee,111.9,
Scops-Owl,113.3,
Pauraque,113.5,
Owlet-nightjar,114,
Buffalo-Weaver,114.2,
Marshbird,114.8,
Dunlin,115.1,
Plover,115.4,
Falcon,115.6,
Dovekie,115.8,
Cochoa,116,
Redwing,116.3,
Giant-Honeyeater,116.5,
Scrub-Jay,116.7,
Malkoha,117.2,
Partridge,117.2,
Aracari,117.5,
Toucanet,117.7,
Oxpecker,118.3,
Green-Pigeon,118.8,
Ground-Jay,118.8,
Storm-Petrel,119,
Murrelet,119.5,
Sanderling,119.6,
Wrybill,119.8,
Bowerbird,120.2,
Courser,120.2,
Lizard-Cuckoo,120.5,
Lophorina,121,
Teal,122,
Wattlebird,122.1,
Chowchilla,122.3,
Sapsucker,122.8,
Piha,123.1,
Figbird,123.7,
Emerald-Toucanet,123.9,
Nightjar,124,
Brown-Dove,124.3,
Emu,124.5,
Coleto,124.7,
Gallinule,125,
Nighthawk,125.2,
Fairy-bluebird,125.4,
Wood-Quail,126,
Barred-Woodcreeper,126.1,
Francolin,127.2,
Malia,127.8,
Bamboo-Partridge,128.4,
Bluebonnet,128.6,
Treeswift,128.8,
Yellownape,129,
Woodhoopoe,129.2,
Ani,129.3,
Woodcock,129.8,
Riflebird,130,
Coua,130.2,
Kookaburra,130.2,
Green-Magpie,130.3,
Astrapia,131.3,
Bush-hen,131.8,
Magpie,132.1,
Quail-Dove,132.2,
Rock-Pigeon,132.8,
Moorhen,133,
Flameback,134,
Rosella,134,
Collared-Dove,134.8,
Mao,135.8,
Jayshrike,136,
Screech-Owl,136,
Duck,137.9,
Balicassiao,138,
Flicker,138.4,
Bleeding-heart,139.2,
Butcherbird,140.5,
Bush-Crow,140.8,
Cuckoo-Dove,141,
Heron,141,
